Season,Week,Contestant,Fan_Vote_Percentage,Is_Eliminated,Is_Feasible
1,1,John O'Hurley,0.18348623853211007,False,True
1,1,Kelly Monaco,0.11926605504587157,True,True
1,1,Evander Holyfield,0.16513761467889906,False,True
1,1,Rachel Hunter,0.18348623853211007,False,True
1,1,Joey McIntyre,0.18348623853211007,False,True
1,1,Trista Sutter,0.16513761467889906,False,True
1,2,John O'Hurley,0.11019217077949556,True,True
1,2,Kelly Monaco,0.1404958677879976,False,True
1,2,Evander Holyfield,0.20936672449850388,False,True
1,2,Rachel Hunter,0.1983471074574191,False,True
1,2,Joey McIntyre,0.17355371902766703,False,True
1,2,Trista Sutter,0.16804441044891688,False,True
1,3,John O'Hurley,0.22641509435126422,False,True
1,3,Kelly Monaco,0.19811320755881132,False,True
1,3,Evander Holyfield,0.2075476697938584,False,True
1,3,Rachel Hunter,0.2452830188795661,False,True
1,3,Joey McIntyre,0.1226410094165,True,True
1,4,John O'Hurley,0.2282608695652174,False,True
1,4,Kelly Monaco,0.28260869565217395,False,True
1,4,Rachel Hunter,0.27173913043478265,True,True
1,4,Joey McIntyre,0.21739130434782608,False,True
1,5,John O'Hurley,0.3698630136986301,False,True
1,5,Kelly Monaco,0.32191780821917804,False,True
1,5,Joey McIntyre,0.30821917808219174,False,True
1,6,John O'Hurley,0.4954128440366973,False,True
1,6,Kelly Monaco,0.5045871559633027,False,True
2,1,Tatum O'Neal,0.11794871794871796,False,True
2,1,Tia Carrere,0.10256410256410256,False,True
2,1,George Hamilton,0.0923076923076923,False,True
2,1,Lisa Rinna,0.09743589743589742,False,True
2,1,Stacy Keibler,0.11282051282051281,False,True
2,1,Jerry Rice,0.10769230769230767,False,True
2,1,Giselle Fernandez,0.11794871794871796,False,True
2,1,Master P,0.10598323931623932,False,True
2,1,Drew Lachey,0.04444377777777778,True,True
2,1,Kenny Mayne,0.10085503418803421,False,True
2,2,Tatum O'Neal,0.10166700000323377,False,True
2,2,Tia Carrere,0.1099999999983831,False,True
2,2,George Hamilton,0.1099999999983831,False,True
2,2,Lisa Rinna,0.09999999999838312,False,True
2,2,Stacy Keibler,0.14499999999838312,False,True
2,2,Jerry Rice,0.07166600000323375,True,True
2,2,Giselle Fernandez,0.11999999999838311,False,True
2,2,Master P,0.10666700000323376,False,True
