Season,Week,Contestant,Fan_Vote_Percentage,Uncertainty,Certainty_Level,Is_Eliminated
1,1,John O'Hurley,0.0003287681732684839,0.0001996318654944876,0.9998003681345055,False
1,1,Kelly Monaco,0.5340944725554966,0.13121384128939767,0.8687861587106023,True
1,1,Evander Holyfield,0.0044061014245989965,0.0032792943918990834,0.9967207056081009,False
1,1,Rachel Hunter,0.06369822558322648,0.042530439081204734,0.9574695609187953,False
1,1,Joey McIntyre,0.18709563147314026,0.10316868591306415,0.8968313140869358,False
1,1,Trista Sutter,0.2103768007902691,0.10120830690236648,0.8987916930976335,False
1,2,John O'Hurley,0.003910239220170646,0.0002839015550774346,0.9997160984449226,True
1,2,Kelly Monaco,0.3870364612366517,0.016633309642363432,0.9833666903576366,False
1,2,Evander Holyfield,0.009689173710101707,0.0007142822974618984,0.9992857177025382,False
1,2,Rachel Hunter,0.13129521976083416,0.008440795490956447,0.9915592045090436,False
1,2,Joey McIntyre,0.23055881122268404,0.01317301090911977,0.9868269890908802,False
1,2,Trista Sutter,0.23751009484955757,0.013668669035037601,0.9863313309649624,False
1,3,John O'Hurley,0.019703136426460353,0.0014350613884671643,0.9985649386115328,False
1,3,Kelly Monaco,0.4021093875845245,0.01902535955002428,0.9809746404499757,False
1,3,Evander Holyfield,0.017631799971552377,0.0012851860654508745,0.9987148139345491,False
1,3,Rachel Hunter,0.2633053029182745,0.015362481698767366,0.9846375183012326,False
1,3,Joey McIntyre,0.2972503730991882,0.01635581548036302,0.983644184519637,True
1,4,John O'Hurley,0.043833305507947666,0.003361540955368531,0.9966384590446314,False
1,4,Kelly Monaco,0.6484080034045816,0.017060132845974525,0.9829398671540255,False
1,4,Rachel Hunter,0.06486050343266227,0.004793860417106305,0.9952061395828937,True
1,4,Joey McIntyre,0.2428981876548085,0.014233162082975287,0.9857668379170247,False
1,5,John O'Hurley,0.1824874573177413,0.012601142283432076,0.9873988577165679,False
1,5,Kelly Monaco,0.6984427442332226,0.016659860938589458,0.9833401390614105,False
1,5,Joey McIntyre,0.11906979844903615,0.008774329623402532,0.9912256703765975,False
1,6,John O'Hurley,0.17672899285304566,0.01324782309431105,0.986752176905689,False
1,6,Kelly Monaco,0.8232710071469543,0.013247823094311051,0.986752176905689,False
