season,week,method,contestant_id,judge_percent,fan_vote_est,fan_vote_min,fan_vote_max,uncertainty_width,certainty_score_0_1,week_slack_sum,week_consistency_CI,alpha_data_driven,tau_local,delta_local,is_eliminated_this_week
1,1,rank,John O'Hurley | Charlotte Jorgensen,0.1834862385321101,0.1834862385321101,0.1834862236309489,0.1834862534332713,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,1,rank,Kelly Monaco | Alec Mazo,0.11926605504587157,0.11926605504587157,0.11926604014471037,0.11926606994703276,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,1,rank,Evander Holyfield | Edyta Sliwinska,0.1651376146788991,0.1651376146788991,0.1651375997777379,0.16513762958006029,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,1,rank,Rachel Hunter | Jonathan Roberts,0.1834862385321101,0.1834862385321101,0.1834862236309489,0.1834862534332713,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,1,rank,Joey McIntyre | Ashly DelGrosso,0.1834862385321101,0.1834862385321101,0.1834862236309489,0.1834862534332713,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,1,rank,Trista Sutter | Louis van Amstel,0.1651376146788991,0.1651376146788991,0.1651375997777379,0.16513762958006029,2.9802322387695312e-08,0.0,0.0,1.0,1.0,0.0,1.4901161193847656e-08,False
1,2,rank,John O'Hurley | Charlotte Jorgensen,0.21487603305785125,0.1763084809291643,0.07135978976303045,0.2812571720952981,0.20989738233226765,0.0,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,False
1,2,rank,Kelly Monaco | Alec Mazo,0.14049586776859505,0.16666677184470785,0.16666666376240272,0.2716154630108417,0.104948799248439,0.4999994850707332,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,False
1,2,rank,Evander Holyfield | Edyta Sliwinska,0.11570247933884298,0.3333333701378436,0.33333332492627754,0.4382820613039774,0.10494873637769986,0.4999997846015728,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,False
1,2,rank,Rachel Hunter | Jonathan Roberts,0.19834710743801653,0.16804402224975956,0.06309533108362572,0.2729927134158934,0.20989738233226765,0.0,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,False
1,2,rank,Joey McIntyre | Ashly DelGrosso,0.17355371900826447,0.15564733631565952,0.050698645149525684,0.26059602748179334,0.20989738233226765,0.0,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,False
1,2,rank,Trista Sutter | Louis van Amstel,0.15702479338842976,2.478053309893609e-08,0.0,0.10494871594666694,0.10494871594666694,0.49999988193977063,0.0,1.0,0.5,0.06608536666490723,0.10494869116613384,True
1,3,rank,John O'Hurley | Charlotte Jorgensen,0.22641509433962265,0.19629033661240208,0.19629029082697672,0.19629038239782745,9.157085073541182e-08,0.0,0.0,1.0,0.39878658132274925,1.048152588167787e-14,4.5785425370259194e-08,False
1,3,rank,Kelly Monaco | Alec Mazo,0.19811320754716982,0.17920724882225833,0.17920720303683296,0.1792072946076837,9.157085073541182e-08,0.0,0.0,1.0,0.39878658132274925,1.048152588167787e-14,4.5785425370259194e-08,False
1,3,rank,Evander Holyfield | Edyta Sliwinska,0.12264150943396226,0.24931220527498568,0.24931215948956031,0.24931225106041105,9.157085073541182e-08,0.0,0.0,1.0,0.39878658132274925,1.048152588167787e-14,4.5785425370259194e-08,True
1,3,rank,Rachel Hunter | Jonathan Roberts,0.24528301886792453,0.19884590168767893,0.19884585590225357,0.1988459474731043,9.157085073541182e-08,0.0,0.0,1.0,0.39878658132274925,1.048152588167787e-14,4.5785425370259194e-08,False
1,3,rank,Joey McIntyre | Ashly DelGrosso,0.20754716981132076,0.1763443124145517,0.17634426662912633,0.17634435819997707,9.157085073541182e-08,0.0,0.0,1.0,0.39878658132274925,1.048152588167787e-14,4.5785425370259194e-08,False
1,4,rank,John O'Hurley | Charlotte Jorgensen,0.22826086956521738,0.2500004030196422,0.24999999828531255,0.44193498332329423,0.19193498503798168,1.165475204012445e-06,0.0,1.0,0.515797194017137,0.14735553246535615,0.191934580303652,False
1,4,rank,Kelly Monaco | Alec Mazo,0.2826086956521739,0.24999937738777378,0.058064797084121766,0.25000000581783,0.19193520873370823,0.0,0.0,1.0,0.515797194017137,0.14735553246535615,0.191934580303652,False
